"Град","Код","Име","БЕЛ","МАТ"
"София","2203603","Специално училище за ученици с нарушено зрение ЛУИ БРАЙЛ","87","71"
"София","2202612","Специално училище за ученици с увреден слух Проф. д-р Дечо Денев","60.25","40.62"
"София","2902101","Национално музикално училище Любомир Пипков","87.04","70.86"
"София","2902701","Национален учебен комплекс по култура с лицей за изучаване на италиански език и култура с участието на Република Италия","86.28","73.55"
"София","2204134","134. средно училище Димчо Дебелянов","89.28","77.01"
"София","2217151","НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ СОФИЯ","85.45","73.47"
"София","2214098","98 Начално училище Св. св. Кирил и Методий","83.97","74.02"
"София","2210156","156-о обединено училище Васил Левски","77.38","53.31"
"София","2210162","162 Обединено училище Отец Паисий","48.83","41.19"
"София","2220059","59 ОБЕДИНЕНО УЧИЛИЩЕ ВАСИЛ ЛЕВСКИ","31","27.65"
"София","2202005","5 Основно училище Иван Вазов","85.91","79.43"
"София","2202050","50. ОСНОВНО УЧИЛИЩЕ ВАСИЛ ЛЕВСКИ","83.08","71.64"
"София","2202052","52. основно училище Цанко Церковски","89.26","76.95"
"София","2202064","64 основно училище Цар Симеон Велики ","84.96","72.88"
"София","2203061","61-во основно училище Свети Свети Кирил и Методий","83.95","68.86"
"София","2203062","62. Основно училище Христо Ботев","81.6","65.88"
"София","2203070","70-о основно училище Свети Климент Охридски","45.71","34.71"
"София","2204046","46 Основно училище Константин Фотинов с разширено изучаване на хореография","85","71.79"
"София","2204067","67 ОСНОВНО УЧИЛИЩЕ ВАСИЛ ДРУМЕВ","35.71","45.33"
"София","2204076","76. Основно училище Уилям Сароян","79.16","66.56"
"София","2204136","136 ОСНОВНО УЧИЛИЩЕ ЛЮБЕН КАРАВЕЛОВ","25.93","19.7"
"София","2205011","11 ОУ Св. Пимен Зографски","87.74","75.94"
"София","2206043","43. Основно училище Христо Смирненски","85.43","69.53"
"София","2206045","45 основно училище Константин Величков","81.9","70.21"
"София","2207004","4. Основно училище Проф. Джон Атанасов","84.92","73.2"
"София","2207089","89 ОУ Д-р Христо Стамболски","39.71","59.75"
"София","2207150","150-то ОСНОВНО УЧИЛИЩЕ ЦАР СИМЕОН ПЪРВИ","82.11","71.55"
"София","2207163","163 ОСНОВНО УЧИЛИЩЕ ЧЕРНОРИЗЕЦ ХРАБЪР","84.75","72.92"
"София","2208075","75.Основно училище Тодор Каблешков ","27","21.55"
"София","2208092","92 Основно училище Димитър Талев","84.4","72.99"
"София","2208147","147 Основно училище Йордан Радичков","37.87","39.29"
"София","2209025","25 основно училище Д-р Петър Берон","87.93","74.47"
"София","2209034","34 ОСНОВНО УЧИЛИЩЕ СТОЮ ШИШКОВ","85.31","74.81"
"София","2209142","142 ОСНОВНО УЧИЛИЩЕ ВЕСЕЛИН ХАНЧЕВ","83.09","69.97"
"София","2210159","159 основно училище Васил Левски","82.61","65.87"
"София","2211107","107. основно училище Хан Крум","91.9","83.57"
"София","2211120","120 Основно училище Георги Сава Раковски","92.91","81.16"
"София","2211122","122 ОСНОВНО УЧИЛИЩЕ НИКОЛАЙ ЛИЛИЕВ Иновативно училище с роботика и приложно програмиране","86.36","75.34"
"София","2211139","139 Основно училище Захарий Круша","91.53","81.17"
"София","2212033","33 основно училище Санкт Петербург","88.54","75.03"
"София","2212077","77 Основно училище Св. Св. Кирил и Методий","68.88","60.83"
"София","2212103","103 Основно училище Васил Левски","18.71","21.38"
"София","2213082","82. основно училище Васил Евстатиев Априлов","76.93","63.71"
"София","2213145","145 Основно училище Симеон Радев ","91.52","81.42"
"София","2214016","16 . ОСНОВНО УЧИЛИЩЕ РАЙКО ЖИНЗИФОВ ","79.23","63.36"
"София","2214063","63 Основно училище Христо Ботев","87.56","78.35"
"София","2214102","102. oсновно училище Панайот Волов","82.02","64.43"
"София","2214141","141 Основно училище Народни будители","27.3","23.1"
"София","2216112","112 ОСНОВНО УЧИЛИЩЕ СТОЯН ЗАИМОВ","85.93","73.63"
"София","2216129","129 Основно Училище Антим -І","88.99","76.8"
"София","2217053","53 ОСНОВНО УЧИЛИЩЕ НИКОЛАЙ ХРЕЛКОВ","78.55","70.03"
"София","2217072","72 Основно училище Христо Ботев ","85.3","68.74"
"София","2218083","83. Основно училище Елин Пелин","76.83","63.43"
"София","2219042","42. Основно училище Хаджи Димитър","79.4","64.61"
"София","2219049","49-то Основно училище Бенито Хуарес","84.88","68.15"
"София","2219106","106 Основно училище Григорий Цамблак ","37.33","31.25"
"София","2219124","124 ОСНОВНО УЧИЛИЩЕ ВАСИЛ ЛЕВСКИ","26.33","17.7"
"София","2219143","143 основно училище Георги Бенковски","88.28","76.84"
"София","2219199","199 Основно Училище Свети Апостол Йоан Богослов","72.38","61.77"
"София","2220048","48 ОСНОВНО УЧИЛИЩЕ ЙОСИФ КОВАЧЕВ","81.11","68.38"
"София","2220058","58 Основно училище Сергей Румянцев","79.7","63.27"
"София","2220060","60 ОУ Св.св.Кирил и Методий","78.6","61.47"
"София","2220100","100 ОСНОВНО УЧИЛИЩЕ НАЙДЕН ГЕРОВ","90.2","80.8"
"София","2221109","109 Основно училище Христо Смирненски","90.2","79.39"
"София","2221148","148 ОСНОВНО УЧИЛИЩЕ ПРОФЕСОР Д-Р ЛЮБОМИР МИЛЕТИЧ","82.04","71.9"
"София","2222006","6 ОУ Граф Игнатиев","85.9","71.75"
"София","2222038","38 основно училищеВасил Априлов","87.34","74.41"
"София","2224020","20.Иновативно основно училище Тодор Минков с ранно чуждоезиково обучение по френски и немски език","89.77","75.75"
"София","2224041","41 основно училище Св. Патриарх Евтимий","84.68","70.18"
"София","2224104","104 основно училище Захари Стоянов","90.75","80.65"
"София","2224126","126 ОСНОВНО УЧИЛИЩЕ Петко Юрданов Тодоров","83.27","70.02"
"София","2202002","2 Средно училище Академик Емилиян Станев ","87.47","73.35"
"София","2202026","26 Средно училище Йордан Йовков","85.85","69.58"
"София","2203074","74 СУ ГОЦЕ ДЕЛЧЕВ","79.47","65.1"
"София","2203140","140. СРЕДНО УЧИЛИЩЕ ИВАН БОГОРОВ","82.17","61.2"
"София","2204018","18 Средно училище Уилям Гладстон","85.75","75.04"
"София","2204030","30 СРЕДНО УЧИЛИЩЕ БРАТЯ МИЛАДИНОВИ","81.73","67.48"
"София","2204032","32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ СВЕТИ КЛИМЕНТ ОХРИДСКИ","86.84","74.16"
"София","2205105","105. СРЕДНО УЧИЛИЩЕ АТАНАС ДАЛЧЕВ","89.14","79.99"
"София","2205119","119 Средно училище Академик Михаил Арнаудов","86.23","74.75"
"София","2206003","3. СУ Марин Дринов","71.19","58.62"
"София","2206113","113 СУ САВА ФИЛАРЕТОВ","18.19","26.43"
"София","2207068","68. Средно училище Академик Никола Обрешков","82.08","70.13"
"София","2207069","69 Средно училище Димитър Маринов","76.94","58.97"
"София","2207108","108 Средно училище Никола Беловеждов","86.55","69.17"
"София","2208017","17 СУ Дамян Груев с ранно чуждоезиково обучение","86.04","70.78"
"София","2208028","28 Средно училище Алеко Константинов","69.87","57.61"
"София","2208123","123 Средно училищe Стефан Стамболов","42.95","28.18"
"София","2208135","135 средно училище Ян Амос Коменски","72.8","58.68"
"София","2209019","19 СРЕДНО УЧИЛИЩЕ ЕЛИН ПЕЛИН","86.97","75.71"
"София","2209036","36 Средно училище Максим Горки","87.46","74.9"
"София","2209051","51 СРЕДНО УЧИЛИЩЕ ЕЛИСАВЕТА БАГРЯНА","91.93","78.45"
"София","2209132","132. Средно училище Ваня Войнова","75.55","65.95"
"София","2210085","85 Средно училище Отец Паисий","75.08","57.53"
"София","2210117","117. СУ","70.38","59.79"
"София","2211021","21 СРЕДНО УЧИЛИЩЕ ХРИСТО БОТЕВ","82.63","69.52"
"София","2211035","35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ДОБРИ ВОЙНИКОВ","87.64","75.13"
"София","2212027","27. Средно училище Акад. Георги Караславов","66.36","50.64"
"София","2212037","37. Средно училище Райна Княгиня","41.54","29.08"
"София","2212040","40 Средно училище Луи Пастьор","86.54","73.35"
"София","2212056","56. Средно училище Професор Константин Иречек","83.72","70.27"
"София","2212079","79 средно училище Индира Ганди","77.74","66.49"
"София","2212090","90 Средно училище Генерал Хосе де Сан Мартин","76.5","64"
"София","2212096","96 Средно училище Лев Николаевич Толстой","82.97","67.8"
"София","2212097","97 Средно училище Братя Миладинови","80.21","60.55"
"София","2212137","137 средно училище Ангел Кънчев","84.77","72.67"
"София","2213010","10 Средно училище Теодор Траянов ","92.1","80.35"
"София","2213039","39 Средно училище Петър Динеков","85.03","71.8"
"София","2213081","81. Средно училище Виктор Юго","83.31","72.07"
"София","2213118","118 Средно училище Академик Людмил Стоянов","84.71","74.49"
"София","2213125","125 СУ Боян Пенев с изучаване на чужди езици","88.81","79.68"
"София","2213128","128 СРЕДНО УЧИЛИЩЕ АЛБЕРТ АЙНЩАЙН","87.47","76.47"
"София","2213131","131. СУ Климент Аркадиевич Тимирязев","78.58","64.68"
"София","2213144","144 Средно училище Народни будители","86.07","70.3"
"София","2214015","15 Средно училище Адам Мицкевич","76.96","62.93"
"София","2214054","54. СРЕДНО УЧИЛИЩЕ Свети ИВАН РИЛСКИ","84.88","67.68"
"София","2214101","101. СРЕДНО УЧИЛИЩЕ БАЧО КИРО","83.2","68.38"
"София","2216001","1 Средно училище Пенчо П. Славейков","88.68","77.77"
"София","2217066","66 Средно училище Филип Станиславов","46.09","44.45"
"София","2217088","88. Средно училище Димитър Попниколов","84.17","70.16"
"София","2217149","149 Средно училище ,,Иван Хаджийски","74.08","60.53"
"София","2219024","24 Средно училище П.К.Яворов","50","41.2"
"София","2219044","44. Средно училище Неофит Бозвели","84.43","70.63"
"София","2219095","95 СУ Проф. Иван Шишманов","81.82","63.27"
"София","2219130","130. средно училище Стефан Караджа","68.09","49"
"София","2220014","14. средно училище Проф. д-р Асен Златаров","83","68.95"
"София","2220029","29. Средно училище Кузман Шапкарев","43.08","43.73"
"София","2221023","23 Средно училище Фредерик Жолио-Кюри","83.65","70.24"
"София","2221031","31 Средно училище за чужди езици и математика Иван Вазов","91.28","77.6"
"София","2221093","93-то Средно училище Александър Теодоров - Балан","86.87","70.48"
"София","2221094","94 СРЕДНО УЧИЛИЩЕ Димитър Страшимиров","29.02","27.54"
"София","2221138","138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ПРОФ. ВАСИЛ ЗЛАТАРСКИ","91.81","79.2"
"София","2222007","7. СРЕДНО УЧИЛИЩЕ СВ. СЕДМОЧИСЛЕНИЦИ","90.69","80.86"
"София","2222012","12 Средно училище Цар Иван Асен II","81.31","72.12"
"София","2222127","127 СРЕДНО УЧИЛИЩЕ Иван Николаевич Денкоглу","88.81","77.08"
"София","2222133","133 Средно училище „Александър Сергеевич Пушкин”","90.37","79.77"
"София","2223008","8. Средно училище Васил Левски","86.07","75.67"
"София","2223055","55 СРЕДНО УЧИЛИЩЕ ПЕТКО КАРАВЕЛОВ","89.35","79.79"
"София","2224022","22 Средно езиково училище Георги Стойков Раковски","87.11","74.44"
"София","2224047","47 Средно училище Христо Груев Данов","83.26","71.44"
"София","2224073","73.СУ с преподаване на чужди езици Владислав Граматик","89.3","77.3"
"София","2224121","121 СРЕДНО УЧИЛИЩЕ ГЕОРГИ ИЗМИРЛИЕВ","85.51","71.58"
"София","2200024","Частно начално училище Наука за деца","92.59","90.06"
"София","2221621","Частно начално училище Питагор","94.89","90.63"
"София","2200021","ЧОУ Роналд Лаудер","87.47","75"
"София","2202537","Частно основно училище Света София ЕООД","93.9","90.54"
"София","2202705","Частно Основно Училище Откривател","69.43","66.14"
"София","2204595","ЧАСТНО ОСНОВНО УЧИЛИЩЕ СВЕТЛИНА","90","74.23"
"София","2205521","Частно основно училище Св. Климент Охридски ","93.28","85.33"
"София","2211518","Частно основно училище Д-р Петър Берон","90.99","82.04"
"София","2212554","ЧАСТНО ОСНОВНО УЧИЛИЩЕ ЕРИХ КЕСТНЕР","86.5","73.31"
"София","2213502","Частно основно училище с изучаване на английски език Меридиан 22","91.13","83.38"
"София","2213721","Частно основно училище Азбуки","88.86","81.11"
"София","2217525","Частно основно училище Монтесори ЕООД","91.58","86.67"
"София","2217722","ЧАСТНО ОСНОВНО УЧИЛИЩЕ ТОМАС ЕДИСЪН","96.31","89.92"
"София","2218703","Частно основно училище Изгрев","85.1","76.2"
"София","2221501","ЧАСТНО ОСНОВНО УЧИЛИЩЕ ОБРАЗОВАТЕЛНИ ТЕХНОЛОГИИ","90.53","79.56"
"София","2221614","Частно основно училище Джани РоДари ЕООД","85.2","81.4"
"София","2224672","Частно основно училище Куест","87.33","80.67"
"София","2224677","Частно основно училище Прогресивно образование","87.21","72.25"
"София","2211598","ЧАСТНО СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ГАЛИНА СЕРГЕЕВНА УЛАНОВА","88.88","77.31"
"София","2200023","Частно средно училище Константин-Кирил Философ","67.83","57"
"София","2201515","Частно средно училище Цар Симеон Велики","87.33","71.4"
"София","2202534","Частно профилирано средно училище Свети Наум","81.33","83.33"
"София","2202535","ЧСУ Рьорих с ранно чуждоезиково обучение и разширено изучаване на музика и изобразително изкуство","76.75","82.2"
"София","2202536","Частно средно езиково училище Британика","86.9","75.25"
"София","2202574","Частно средно училище Свети Георги","90.41","79.08"
"София","2202620","Частно средно училище Професор Николай Райнов","73.9","55.81"
"София","2202704","Частно средно училище Евлоги и Христо Георгиеви ЕООД","88.33","72.94"
"София","2203720","Частно средно училище Дружба - София","80.82","73.52"
"София","2204549","Частно средно училище с немски език Веда","94.91","95.57"
"София","2208526","Частно средно училище Орфей","0","0"
"София","2209529","Частно езиково средно училище Дорис Тенеди","92.46","86.54"
"София","2211564","Частно средно училище Българско школо ООД","91.68","83.46"
"София","2212553","Частно средно училище Петко Рачов Славейков","84.4","72.6"
"София","2213506","Частно средно училище с ранно чуждоезиково обучение ЕСПА","91.09","81.83"
"София","2213600","Частно средно училище с чуждоезиков профил Абрахам Линкълн","75.82","60.73"
"София","2216532","Частно средно училище УВЕКИНД","89.81","87.51"
"София","2224544","ЧСУ по изкуства и чужди езици Артис","84.79","81.07"
"Пловдив","1690271","Специално училище за ученици с увреден слух Проф. Д-р Ст. Белинов","38","25"
"Пловдив","2902102","Национално училище за музикално и танцово изкуство Добрин Петков","85.82","72.33"
"Пловдив","1690242","39-то Начално училище Кирил Нектариев","23.38","43.65"
"Пловдив","1690243","Начално училище Петко Рачов Славейков ","87.8","74.76"
"Пловдив","1690441","Начално училище Христо Ботев","87.93","77.87"
"Пловдив","1690543","Начално училище Климент Охридски","90.24","79.46"
"Пловдив","1690246","Обединено училище Пенчо Славейков","21.81","22.89"
"Пловдив","1690443","Обединено училище Йордан Йовков","50.38","44.85"
"Пловдив","1690142","Основно училище Алеко Константинов","85.68","73.76"
"Пловдив","1690143","ОУВиктория и Крикор Тютюнджян","84.26","74.78"
"Пловдив","1690144","Основно училище Гео Милев","20.43","26.88"
"Пловдив","1690146","Основно Училище Д-р Петър Берон","82.98","68.87"
"Пловдив","1690147","Основно УчилищеДушо Хаджидеков","86.97","74.75"
"Пловдив","1690148","Основно училище Екзарх Антим ","86.03","70.48"
"Пловдив","1690149","Основно Училище Кочо Честеменски","88.64","75.5"
"Пловдив","1690152","Основно училище Княз Александър I","84.49","75.66"
"Пловдив","1690244","Основно училище Васил Левски","86.4","70.24"
"Пловдив","1690245","Основно училище Димчо Дебелянов","27.78","35.14"
"Пловдив","1690341","Основно училище Васил Петлешков","88.45","75.55"
"Пловдив","1690342","Основно училище Драган Манчов ","86.2","78.63"
"Пловдив","1690343","Основно училище Елин Пелин","83.92","76.97"
"Пловдив","1690344","Основно училище Тодор Каблешков","84.32","75.57"
"Пловдив","1690442","Основно училище Димитър Тодоров Димов","78.19","57.22"
"Пловдив","1690444","Основно училище Панайот Волов","11.56","15.26"
"Пловдив","1690445","Основно училище Райна Княгиня","86.2","72.27"
"Пловдив","1690544","Основно училище Димитър Талев","82.24","68.72"
"Пловдив","1690545","Основно училище Захари Стоянов","77.76","64.28"
"Пловдив","1690546","Основно училище Стоян Михайловски","82.79","69.05"
"Пловдив","1690547","Основно училище Яне Сандански","85.57","71.33"
"Пловдив","1690150","Средно училище Любен Каравелов","85.6","75.33"
"Пловдив","1690154","Средно училище СВ. ПАИСИЙ ХИЛЕНДАРСКИ ","81.96","65.78"
"Пловдив","1690155","Средно училище Свети Климент Охридски","79.32","70.47"
"Пловдив","1690156","Средно училище Свети Патриарх Евтимий","88.21","79.15"
"Пловдив","1690157","Средно училище Цар Симеон Велики","77.51","60.08"
"Пловдив","1690247","Средно училище Найден Геров","30.06","45.84"
"Пловдив","1690248","Средно училище Симон Боливар","75","62.55"
"Пловдив","1690345","Средно училище Свети свети Кирил и Методий","84.16","68.57"
"Пловдив","1690446","Средно училище Никола Вапцаров","81.33","68.53"
"Пловдив","1690447","Средно училище Пейо Крачолов Яворов","84.92","71.24"
"Пловдив","1690448","Средно училище Христо Груев Данов","86.47","72.16"
"Пловдив","1690542","Средно училище Братя Миладинови","84.35","69.87"
"Пловдив","1690549","Средно училище Константин Величков ","79.36","61.05"
"Пловдив","1690550","Средно училище Свети Константин - Кирил Философ","85.57","71.78"
"Пловдив","1690642","Средно училище Димитър Матевски","83.86","68.28"
"Пловдив","1690643","Средно училище Свети Седмочисленици","87.96","74.17"
"Пловдив","1690644","Средно училище Свети Софроний Врачански","84.98","74.29"
"Пловдив","1690645","СРЕДНО УЧИЛИЩЕ ЧЕРНОРИЗЕЦ ХРАБЪР","84.2","74.86"
"Пловдив","1690907","Частно основно училище Класик","74.6","64.1"
"Пловдив","1690912","Частно основно училище Бъдеще","81.6","75.6"
"Пловдив","1690901","ЧАСТНО СРЕДНО УЧИЛИЩЕ ДРУЖБА","77.53","71.33"
"Варна","2902106","НАЦИОНАЛНО УЧИЛИЩЕ ПО ИЗКУСТВАТА ДОБРИ ХРИСТОВ","88.08","75.23"
"Варна","400001","Начално училище Васил Левски","83.91","72.02"
"Варна","400003","Основно училище Антон Страшимиров","82.57","70.06"
"Варна","400005","Основно училище Васил Априлов","83.99","69.48"
"Варна","400006","Основно училище Георги Сава Раковски","89.69","77.32"
"Варна","400007","Основно училище Добри Чинтулов","82.6","67.51"
"Варна","400008","Основно училище Захари Стоянов","85.49","72.6"
"Варна","400009","Основно училище Иван Вазов","82.44","68.3"
"Варна","400010","Основно училище Свети Иван Рилски","43.18","52.7"
"Варна","400011","Основно училище Йордан Йовков","83.34","67.59"
"Варна","400012","Основно училище Константин Арабаджиев","81","70.11"
"Варна","400015","Основно училище Капитан Петко войвода","71.8","56.3"
"Варна","400017","Основно училище Отец Паисий","44","41.3"
"Варна","400018","Основно училище Панайот Волов","79.09","67.77"
"Варна","400019","Основно училище Свети Патриарх Евтимий","78.6","65.55"
"Варна","400020","Основно училище Петко Рачов Славейков","88.06","80.77"
"Варна","400022","Основно училище Свети свети Кирил и Методий","88.08","79.37"
"Варна","400023","Основно училище Стефан Караджа","80.54","65.73"
"Варна","400024","Основно училище Стоян Михайловски","80.42","60.37"
"Варна","400026","Основно училище Христо Ботев","74.43","61.54"
"Варна","400028","Основно училище Цар Симеон І","86.73","73.98"
"Варна","400029","Основно училище Черноризец Храбър","86.07","76.11"
"Варна","400032","Основно училище Васил Друмев","87.6","73.35"
"Варна","403535","Първо основно училище Св. княз Борис ","75.32","60.22"
"Варна","403536","III Oсновно училище Ангел Кънчев","87.46","75.68"
"Варна","403543","Второ основно училище Никола Йонков Вапцаров","85.78","68.69"
"Варна","400030","Седмо средно училище Найден Геров","89.15","77.64"
"Варна","400031","Средно училище с езиково обучение Ал. С. Пушкин","88.22","74.15"
"Варна","400034","Средно училище Гео Милев","89.53","80.11"
"Варна","400036","Средно училище Елин Пелин","35.48","38.85"
"Варна","400037","Средно училище Любен Каравелов","55.69","48.62"
"Варна","400039","Средно училище Пейо Крачолов Яворов","84.7","72.42"
"Варна","400040","Средно училище Свети Климент Охридски","89.96","75.99"
"Варна","403537","Средно училище Димчо Дебелянов","86.27","71.25"
"Варна","403538","Средно училище Неофит Бозвели","76.37","66.37"
"Варна","400075","Частно основно училище Малкият принц","89","78.48"
